# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
46 1.82 0.989387 11.1235
47 1.86 1.01916 11.8289
48 1.9 1.03618 12.5773
49 1.94 1.08497 13.3942
50 1.98 1.1166 14.27
51 2.02 1.1545 15.2124
52 2.06 1.17328 16.2085
53 2.1 1.19831 17.2658
54 2.14 1.19735 18.3628
55 2.18 1.20348 19.507
56 2.22 1.19176 20.6821
57 2.26 1.17806 21.8859
58 2.3 1.15282 23.1059
59 2.34 1.12905 24.3428
60 2.38 1.10391 25.5937
61 2.42 1.0887 26.8693
62 2.46 1.06564 28.1595
63 2.5 1.05027 29.4727
64 2.54 1.04361 30.8197
65 2.58 1.03417 32.1969
66 2.62 1.02619 33.6061
67 2.66 1.02037 35.0505
68 2.7 1.0151 36.531
69 2.74 1.01724 38.0588
70 2.78 1.01973 39.6355
71 2.82 1.02795 41.2709
72 2.86 1.03075 42.9576
73 2.9 1.03277 44.6953
74 2.94 1.04036 46.4943
75 2.98 1.03948 48.341
76 3.02 1.04374 50.2454
77 3.06 1.04626 52.2054
78 3.1 1.04888 54.2219
79 3.14 1.0457 56.2846
80 3.18 1.04247 58.3936
81 3.22 1.04211 60.5552
82 3.26 1.03609 62.7581
83 3.3 1.03544 65.0139
84 3.34 1.02803 67.3083
85 3.38 1.02737 69.6564
86 3.42 1.02006 72.0433
87 3.46 1.01466 74.4734
88 3.5 1.01393 76.9583
89 3.54 1.00045 79.4664
90 3.58 1.00266 82.0373
91 3.62 1.00013 84.6593
92 3.66 0.995194 87.3263
93 3.7 0.991545 90.0419
94 3.74 0.997922 92.8344
95 3.78 0.993133 95.6733
96 3.82 0.994989 98.578
97 3.86 0.991437 101.533
98 3.9 0.995241 104.562
99 3.94 0.990508 107.638
100 3.98 0.997217 110.798
350000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
